id,first_name,last_name,email,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,,SCHOOL NAME,math_score,MATHSCORE,history_score,HISTORY SCORE,physics_score,PHYSIC SCORE SCALE,chemistry_score,CHEMISTRY SCORE,biology_score,BIO SCORE,english_score,ENGLISH SCORE,geography_score,GEOGRAPHY SCORE,QUESTION 1,QUESTION 2,QUESTION 3
1,Paul,Casey,paul.casey.1@gslingacademy.com,male,FALSE,3,FALSE,27,Lawyer,366,BrightHope college,73,C,81,B,93,A,97,A,63,D,80,B,87,B,,84.01310616,82.85714286
2,Danielle,Sandoval,danielle.sandoval.2@gslingacademy.com,female,FALSE,2,FALSE,47,Doctor,,BrightHope college,90,A,86,B,96,A,100,A,90,A,88,B,90,A,AVERAGE HISTORY GREATER 70,,
3,Tina,Andrews,tina.andrews.3@gslingacademy.com,female,FALSE,9,TRUE,13,Government Officer,,BrightHope college,81,B,97,A,95,A,96,A,65,D,77,C,94,A,86.52707334,,
4,Tara,Clark,tara.clark.4@gslingacademy.com,female,FALSE,5,FALSE,,Artist,,BrightHope college,71,C,74,C,88,B,80,B,89,B,63,D,86,B,AVERAGE PYS 70,,
5,Anthony,Campos,anthony.campos.5@gslingacademy.com,male,FALSE,5,FALSE,10,Unknown,,BrightHope college,84,B,77,C,65,D,65,D,80,B,74,C,76,C,86.75294118,,
6,Kelly,Wade,kelly.wade.6@gslingacademy.com,female,FALSE,2,FALSE,26,Unknown,,BrightHope college,93,A,100,A,67,D,78,C,72,C,80,B,84,B,AVERAGEIF MATH GREATER 70,,
7,Anthony,Smith,anthony.smith.7@gslingacademy.com,male,FALSE,3,TRUE,23,Software Engineer,,BrightHope college,99,A,96,A,97,A,73,C,88,B,76,C,64,D,88.16966427,,
8,George,Short,george.short.8@gslingacademy.com,male,TRUE,2,TRUE,34,Software Engineer,,BrightHope college,95,A,95,A,82,B,63,D,84,B,70,C,85,B,AVERAGE CHEM GREATER 70,,
9,Stanley,Gutierrez,stanley.gutierrez.9@gslingacademy.com,male,FALSE,6,FALSE,25,Unknown,,BrightHope college,94,A,68,D,94,A,85,B,81,B,74,C,72,C,86.44490934,,
10,Audrey,Simpson,audrey.simpson.10@gslingacademy.com,female,FALSE,3,TRUE,18,Teacher,,BrightHope college,98,A,69,D,20,NONAME,71,C,67,D,71,C,73,C,AVERAGE BIO GREATER 70,,
11,Gabrielle,White,gabrielle.white.11@gslingacademy.com,female,FALSE,2,FALSE,7,Teacher,,BrightHope college,65,D,60,D,97,A,94,A,71,C,81,B,66,D,86.19711538,,
12,Clinton,Randolph,clinton.randolph.12@gslingacademy.com,male,FALSE,1,FALSE,7,Unknown,,BrightHope college,80,B,61,D,100,A,65,D,87,B,64,D,61,D,AVERAGE GEO GREATER 70,,
13,Patricia,Gomez,patricia.gomez.13@gslingacademy.com,female,TRUE,7,FALSE,4,Business Owner,,BrightHope college,94,A,59,D,69,D,67,D,89,B,65,D,73,C,85.79095675,,
14,Pamela,Jackson,pamela.jackson.14@gslingacademy.com,female,FALSE,10,FALSE,2,Business Owner,,BrightHope college,66,D,94,A,86,B,100,A,57,D,90,A,63,D,,,
15,Laura,Jackson,laura.jackson.15@gslingacademy.com,female,FALSE,3,FALSE,39,Doctor,,BrightHope college,96,A,90,A,86,B,92,A,92,A,95,A,87,B,,,
16,Roger,Wiley,roger.wiley.16@gslingacademy.com,male,FALSE,6,FALSE,0,Business Owner,,BrightHope college,10,NOSCORE,50,D,78,C,64,D,79,C,74,C,84,B,,,
17,Vicki,Thompson,vicki.thompson.17@gslingacademy.com,female,FALSE,3,TRUE,30,Scientist,,BrightHope college,92,A,64,D,93,A,91,A,80,B,89,B,72,C,,,
18,Maxwell,Davidson,maxwell.davidson.18@gslingacademy.com,male,FALSE,2,TRUE,28,Software Engineer,,BrightHope college,86,B,83,B,85,B,79,C,93,A,76,C,77,C,,,
19,Jonathan,Werner,jonathan.werner.19@gslingacademy.com,male,FALSE,1,FALSE,37,Doctor,,BrightHope college,92,A,87,B,92,A,99,A,97,A,87,B,86,B,,,
20,Angela,Rios,angela.rios.20@gslingacademy.com,female,FALSE,2,FALSE,27,Software Engineer,,BrightHope college,99,A,65,D,98,A,75,C,66,D,72,C,100,A,,,
21,Tim,Nichols,tim.nichols.21@gslingacademy.com,male,TRUE,3,FALSE,15,Software Engineer,,BrightHope college,100,A,90,A,72,C,98,A,73,C,97,A,72,C,,,
22,Kyle,Willis,kyle.willis.22@gslingacademy.com,male,FALSE,8,FALSE,4,Business Owner,,BrightHope college,57,D,55,D,78,C,94,A,83,B,88,B,88,B,,,
23,Shannon,Simpson,shannon.simpson.23@gslingacademy.com,female,FALSE,9,FALSE,2,Business Owner,,BrightHope college,89,B,72,C,68,D,72,C,71,C,54,D,90,A,,,
24,Sean,Griffin,sean.griffin.24@gslingacademy.com,male,FALSE,9,FALSE,1,Business Owner,,BrightHope college,50,D,76,C,81,B,55,D,56,D,80,B,79,C,,,
25,Cassandra,West,cassandra.west.25@gslingacademy.com,female,FALSE,4,FALSE,35,Software Engineer,,BrightHope college,87,B,91,A,90,A,88,B,95,A,88,B,93,A,,,
26,Patricia,Chavez,patricia.chavez.26@gslingacademy.com,female,FALSE,5,FALSE,22,Doctor,,BrightHope college,92,A,86,B,87,B,81,B,93,A,90,A,99,A,,,
27,Jason,Williams,jason.williams.27@gslingacademy.com,male,FALSE,3,FALSE,34,Banker,,BrightHope college,100,A,77,C,80,B,94,A,63,D,90,A,90,A,,,
28,Peter,Gibbs,peter.gibbs.28@gslingacademy.com,male,FALSE,0,FALSE,23,Writer,,BrightHope college,64,D,75,C,93,A,79,C,81,B,96,A,85,B,,,
29,Jeffrey,Blanchard,jeffrey.blanchard.29@gslingacademy.com,male,FALSE,1,TRUE,17,Accountant,,BrightHope college,79,C,65,D,99,A,71,C,76,C,77,C,83,B,,,
30,Carol,Hill,carol.hill.30@gslingacademy.com,female,FALSE,3,FALSE,19,Accountant,,BrightHope college,82,B,100,A,61,D,97,A,30,F,74,C,73,C,,,
31,Angie,Miller,angie.miller.31@gslingacademy.com,female,FALSE,0,FALSE,14,Software Engineer,,BrightHope college,88,B,69,D,87,B,100,A,88,B,85,B,72,C,,,
